City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Hamilton,US,71.55,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
582,Samsun,TR,65.98,broken clouds,41.25,36.3333,Anemon Samsun Otel
583,Conceicao Da Barra,BR,72.63,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
585,Macenta,GN,68.9,few clouds,8.5435,-9.471,Hôtel Yansané
586,Guiglo,CI,72.39,scattered clouds,6.5456,-7.4966,Hotel GBAOLY 2
587,Benguela,AO,71.74,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
588,Quartucciu,IT,78.03,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
590,Bandar-E Anzali,IR,66.31,clear sky,37.4727,49.4622,هتل بیاچ
591,Wajid,SO,70.75,overcast clouds,3.8093,43.2471,xamdihotelresturant114
595,Namtsy,RU,70.21,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
596,Menomonie,US,73.44,scattered clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
603,Tolmin,SI,68.77,overcast clouds,46.183,13.7332,Hotel Lucija
604,Umm Lajj,SA,82.08,clear sky,25.0213,37.2685,Moon light Furnished Units
608,Meulaboh,ID,73.76,light rain,4.1363,96.1285,Kost Pria
609,Ruteng,ID,70.77,broken clouds,-8.6136,120.4721,Hotel FX 72
610,Ilhabela,BR,66.67,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
611,Humaita,BR,79.05,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
612,Charters Towers,AU,73.83,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
613,Mandalgovi,MN,68.86,scattered clouds,45.7625,106.2708,В.Ганбат
616,Gerash,IR,73.54,clear sky,27.6652,54.1371,Sa'adat House Gerash
618,Amahai,ID,83.61,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
620,San Policarpo,PH,83.66,few clouds,12.1791,125.5072,Agapita M. Nicart
622,Khash,IR,66.81,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
624,Calabozo,VE,74.73,overcast clouds,8.9242,-67.4293,Hotel Giardini
626,Vaitape,PF,79.09,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
627,Kuryk,KZ,72.93,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
628,Puerto Carreno,CO,75.88,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
629,Antsohihy,MG,71.4,clear sky,-14.8796,47.9875,Hotel de Ville
631,Peace River,CA,71.91,broken clouds,56.2501,-117.286,BCMInns - Peace River
633,Zhangjiakou,CN,80.04,scattered clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
634,Sarangani,PH,83.3,few clouds,5.4033,125.4636,JVL Inn and Cafeteria
635,Daytona Beach,US,80.69,few clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
639,Alyangula,AU,82.33,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
640,Savannah Bight,HN,82.35,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
643,Sorso,IT,81.59,overcast clouds,40.8,8.5772,Casa vacanza-Antico Casolare Sorso
649,Abonnema,NG,76.24,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
650,Izumo,JP,75.15,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
653,Male,MV,84.15,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
654,Joao Pinheiro,BR,66.78,overcast clouds,-17.7425,-46.1725,Hotel Santos
656,Corn Island,NI,83.08,broken clouds,12.1694,-83.0418,Big Fish Guest House
658,Lashio,MM,71.92,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
659,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
660,Griffith,US,73.11,clear sky,41.5284,-87.4237,Apartment above Depot Bar
662,Puerto Maldonado,PE,71.15,overcast clouds,-12.6,-69.1833,Wasai Hotel
663,Bulancak,TR,68.2,overcast clouds,40.9372,38.2291,Başoğlu Bulancak Otel
664,Veraval,IN,81.1,overcast clouds,20.9,70.3667,Lords Inn Somnath
665,Juba,SS,69.1,clear sky,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
669,Paita,PE,65.93,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
